# Lineuparr v1.26.1062103
# Generated: 2026-04-16 15:05:28
# Lineup: US-CA-UK_CustomProvider-Merged_lineup.json
# Category Detail: normal
# Group Prefix: (auto)
# Match Sensitivity: exact
# Quality Ordering: True
# Rate Limiting: none
# M3U Sources: custom, 3-Crystal, 2-Dino, 1-Mega, 4-Lion (all)
# EPG Sources: EPG (all)
# Channel Profile: DirecTV
#
channel_name,channel_number,channel_group,matched_epg_name,matched_tvg_id,epg_source,confidence_score,has_program_data,match_method,status
FanDuel Sports North,415,Merged: Regional Sports,,,,0,No,,No match
FanDuel Sports Ohio,416,Merged: Regional Sports,,,,0,No,,No match
FanDuel Sports Oklahoma,417,Merged: Regional Sports,,,,0,No,,No match
FanDuel Sports SoCal,418,Merged: Regional Sports,,,,0,No,,No match
FanDuel Sports South,419,Merged: Regional Sports,,,,0,No,,No match
FanDuel Sports Southeast,420,Merged: Regional Sports,,,,0,No,,No match
FanDuel Sports Southwest,421,Merged: Regional Sports,,,,0,No,,No match
FanDuel Sports Sun,422,Merged: Regional Sports,,,,0,No,,No match
FanDuel Sports West,423,Merged: Regional Sports,,,,0,No,,No match
FanDuel Sports Wisconsin,424,Merged: Regional Sports,,,,0,No,,No match
Marquee Sports Network,425,Merged: Regional Sports,[US] MARQUEE SPORTS NETWORK,MarqueeSports.us,EPG,100,Yes,exact,Matched
MASN,426,Merged: Regional Sports,[US] MASN,MASN.us,EPG,100,Yes,exact,Matched
MSG,428,Merged: Regional Sports,[US] MSG,MSGZone1.us,EPG,100,Yes,exact,Matched
NBA New Orleans Pelicans,430,Merged: Regional Sports,,,,0,No,,No match
NBC Sports Bay Area,431,Merged: Regional Sports,[US] NBC SPORTS BAY AREA,NBCSportsBayArea.us,EPG,100,Yes,exact,Matched
NBC Sports Boston,432,Merged: Regional Sports,[US] NBC SPORTS BOSTON,NBCSportsBoston.us,EPG,100,Yes,exact,Matched
NBC Sports California,433,Merged: Regional Sports,[US] NBC SPORTS CALIFORNIA,NBCSportsCalifornia.us,EPG,100,Yes,exact,Matched
NESN,434,Merged: Regional Sports,[US] NESN,NESN.us,EPG,100,Yes,exact,Matched
NHL Tampa Bay Lightning,436,Merged: Regional Sports,,,,0,No,,No match
SNY,437,Merged: Regional Sports,[US] SNY,SNY.us,EPG,100,Yes,exact,Matched
Space City Home Network,438,Merged: Regional Sports,[US] SPACE CITY HOME NETWORK,SpaceCityHomeNetwork.us,EPG,100,Yes,exact,Matched
Spectrum SportsNet,439,Merged: Regional Sports,[US] SPECTRUM SPORTSNET,SpectrumSportsNetLALakers.us,EPG,100,Yes,exact,Matched
YES Network,442,Merged: Regional Sports,[US] YES NETWORK,YesNetwork.us,EPG,100,Yes,exact,Matched
Sky Sports Racing,446,Merged: Regional Sports,[UK] SKY SPORTS RACING,SkySportsRacing.uk,EPG,100,Yes,exact,Matched
Action,500,Merged: Movies,,,,0,No,,No match
FX,502,Merged: Movies,[CA] FX,FX.ca,EPG,100,Fallback,alias,Matched (no programs)
FXX,503,Merged: Movies,[CA] FXX,FXX.ca,EPG,100,Fallback,alias,Matched (no programs)
IFC,509,Merged: Movies,,,,0,No,,No match
MovieTime,510,Merged: Movies,[CA] MOVIE TIME,MovieTime.ca,EPG,100,Fallback,exact,Matched (no programs)
Rewind,511,Merged: Movies,[CA] REWIND,rewind.ca,EPG,100,Fallback,exact,Matched (no programs)
Silver Screen Classics,512,Merged: Movies,[CA] SILVER SCREEN CLASSICS,SilverScreenClassics.ca,EPG,100,Yes,exact,Matched
Sundance Channel,513,Merged: Movies,,,,0,No,,No match
TMN 1,518,Merged: Movies,,,,0,No,,No match
Turner Classic Movies,520,Merged: Movies,,,,0,No,,No match
EPIX Drive-In,522,Merged: Movies,[US] MGM+ Drive-In,MGM+DriveIn.us,EPG,100,Yes,alias,Matched
EPIX 1,523,Merged: Movies,[US] EPIX,MGM+.us,EPG,100,Yes,alias,Matched
EPIX 2,524,Merged: Movies,,,,0,No,,No match
EPIX Hits,525,Merged: Movies,[US] MGM+ Hits,MGM+Hits.us,EPG,100,Yes,alias,Matched
FXM,527,Merged: Movies,[US] FXM,FXMovies.us,EPG,100,Yes,exact,Matched
Hallmark Movies & Mysteries,528,Merged: Movies,[US] HALLMARK MOVIES & MYSTERIES,HallmarkMystery.us,EPG,100,Yes,exact,Matched
HDNet Movies,529,Merged: Movies,,,,0,No,,No match
IndiePlex,530,Merged: Movies,[US] INDIE PLEX,IndiePlex.us,EPG,100,Fallback,exact,Matched (no programs)
MGM,531,Merged: Movies,,,,0,No,,No match
MoviePlex,532,Merged: Movies,[US] MOVIE PLEX,MoviePlex.us,EPG,100,Fallback,exact,Matched (no programs)
PixL,533,Merged: Movies,[US] PIXL,PixL.us,EPG,100,Yes,exact,Matched
RetroPlex,534,Merged: Movies,[US] RETRO PLEX,RetroPlex.us,EPG,100,Yes,exact,Matched
Showtime (E),535,Merged: Movies,,,,0,No,,No match
Showtime (W),536,Merged: Movies,,,,0,No,,No match
Showtime 2,537,Merged: Movies,[US] SHOWTIME 2 EAST,Showtime2.us,EPG,100,Yes,alias,Matched
Showtime Showcase,538,Merged: Movies,,,,0,No,,No match
Showtime Extreme,539,Merged: Movies,,,,0,No,,No match
Sony Movie Channel,541,Merged: Movies,[US] SONY MOVIES,SonyMovieChannel.us,EPG,95,Yes,substring,Matched
STARZ Cinema,544,Merged: Movies,[US] STARZ CINEMA,StarzCinema.us,EPG,100,Yes,exact,Matched
STARZ Comedy,545,Merged: Movies,,,,0,No,,No match
STARZ Edge,546,Merged: Movies,,,,0,No,,No match
STARZ Encore Action,549,Merged: Movies,,,,0,No,,No match
STARZ Encore Black,550,Merged: Movies,[US] STARZ ENCORE BLACK,StarzEncoreBlack.us,EPG,100,Yes,exact,Matched
STARZ Encore Classic,551,Merged: Movies,[US] STARZ ENCORE CLASSIC,StarzEncoreClassic.us,EPG,100,Yes,exact,Matched
STARZ Encore Family,552,Merged: Movies,[US] STARZ ENCORE FAMILY,StarzEncoreFamily.us,EPG,100,Yes,exact,Matched
STARZ Encore Suspense,553,Merged: Movies,,,,0,No,,No match
STARZ Encore Westerns,554,Merged: Movies,,,,0,No,,No match
STARZ In Black,555,Merged: Movies,[US] STARZ IN BLACK,StarzInBlack.us,EPG,100,Yes,exact,Matched
SundanceTV,557,Merged: Movies,[US] SUNDANCE,SundanceTV.us,EPG,100,Yes,alias,Matched
The Movie Channel (E),558,Merged: Movies,[US] THE MOVIE CHANNEL,TheMovieChannel.us,EPG,100,Yes,alias,Matched
The Movie Channel Xtra,560,Merged: Movies,[US] THE MOVIE CHANNEL EXTRA,TheMovieChannelExtra.us,EPG,100,Yes,alias,Matched
The Movie Channel Xtra (E),561,Merged: Movies,[US] THE MOVIE CHANNEL EXTRA,TheMovieChannelExtra.us,EPG,97,Yes,alias,Matched
Turner Classic Movies,562,Merged: Movies,,,,0,No,,No match
Cinemax,563,Merged: Movies,,,,0,No,,No match
Cinemax East,566,Merged: Movies,,,,0,No,,No match
HBO Comedy East HD,570,Merged: Movies,[US] HBO COMEDY EAST,HBOComedy.us,EPG,100,Yes,alias,Matched
HBO East,572,Merged: Movies,[US] HBO EAST,HBO.us,EPG,100,Yes,alias,Matched
HBO Latino,575,Merged: Movies,,,,0,No,,No match
Hallmark Mystery,576,Merged: Movies,[US] HALLMARK MOVIES & MYSTERIES,HallmarkMystery.us,EPG,100,Yes,alias,Matched
Movie Favorites by Lifetime,578,Merged: Movies,,,,0,No,,No match
Paramount+ with SHOWTIME EAST,581,Merged: Movies,,,,0,No,,No match
SHO x BET,582,Merged: Movies,,,,0,No,,No match
SHOWTIME 2 East,583,Merged: Movies,[US] SHOWTIME 2 EAST,Showtime2.us,EPG,100,Yes,alias,Matched
SHOWTIME Family Zone,584,Merged: Movies,[US] SHOWTIME FAMILY ZONE,ShowtimeFamilyzone.us,EPG,100,Yes,exact,Matched
SHOWTIME Next,585,Merged: Movies,,,,0,No,,No match
STARZ,587,Merged: Movies,,,,0,No,,No match
STARZ Cinema East HD,588,Merged: Movies,[US] STARZ CINEMA,StarzCinema.us,EPG,100,Yes,exact,Matched
STARZ Comedy East HD,589,Merged: Movies,[US] STARZ COMEDY EAST,StarzComedy.us,EPG,100,Yes,alias,Matched
STARZ Edge East HD,590,Merged: Movies,[US] STARZ EDGE EAST,StarzEdge.us,EPG,100,Yes,alias,Matched
STARZ ENCORE East,591,Merged: Movies,[US] STARZ ENCORE EAST,StarzEncore.us,EPG,100,Yes,alias,Matched
STARZ ENCORE West,592,Merged: Movies,[US] STARZ ENCORE WEST,StarzEncorePacific.us,EPG,100,Fallback,alias,Matched (no programs)
STARZ In Black East HD,593,Merged: Movies,[US] STARZ IN BLACK,StarzInBlack.us,EPG,100,Yes,exact,Matched
TCM,594,Merged: Movies,[US] TCM,TCMPacific.us,EPG,100,Yes,alias,Matched
TCM East,595,Merged: Movies,[US] TCM,TCMPacific.us,EPG,100,Yes,alias,Matched
TCM West,596,Merged: Movies,[US] TCM,TCMPacific.us,EPG,100,Yes,alias,Matched
Action Max,598,Merged: Movies,,,,0,No,,No match
AMC,599,Merged: Movies,,,,0,No,,No match
Hallmark Channel,601,Merged: Movies,[US] HALLMARK CHANNEL,HallmarkChannel.us,EPG,100,Yes,alias,Matched
HBO,602,Merged: Movies,,,,0,No,,No match
HBO 2,603,Merged: Movies,,,,0,No,,No match
HBO Comedy,604,Merged: Movies,,,,0,No,,No match
HBO Family,605,Merged: Movies,,,,0,No,,No match
HBO Signature,606,Merged: Movies,,,,0,No,,No match
HBO Zone,607,Merged: Movies,,,,0,No,,No match
IFC,608,Merged: Movies,[US] IFC,IFC.us,EPG,100,Yes,exact,Matched
MGM+ Hits,609,Merged: Movies,[US] MGM+ Hits,MGM+Hits.us,EPG,100,Yes,exact,Matched
Outer Max,612,Merged: Movies,,,,0,No,,No match
Starz Encore,614,Merged: Movies,,,,0,No,,No match
The Movie Channel,615,Merged: Movies,[US] THE MOVIE CHANNEL,TheMovieChannel.us,EPG,100,Yes,exact,Matched
GREAT! action,618,Merged: Movies,[UK] GREAT ACTION,GREAT!action.uk,EPG,100,Yes,fuzzy (100),Matched
